SMILES1,SMILES2
[O-][n+]1ccccc1SSSc1cccc[n+]1[O-],O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12
[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
[O-][n+]1onc2c1c1no[n+]([O-])c1c1no[n+]([O-])c21,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
C#Cc1ccc(C#C)cc1,CN(C)c1ccncc1
C(=Cc1ccccn1)c1ccccn1,Oc1cccc(O)c1
C(=Cc1ccccn1)c1ccccn1,O=C(O)C=CC(=O)O
C(=Cc1ccccn1)c1ccncc1,O=C(O)c1ccc(C(=O)O)cc1
C(C=Cc1ccncc1)=Cc1ccncc1,COc1cc(O)cc(O)c1
C(=Cc1ccncc1)c1ccncc1,Oc1cccc(O)c1
C(=Cc1ccncc1)c1ccncc1,COc1cc(O)cc(O)c1
C(=Cc1ccncc1)c1ccncc1,O=C(O)c1ccccc1
C(=Cc1ccncc1)c1ccncc1,O=C(O)CCCC(=O)O
C(=Cc1ccncc1)c1ccncc1,Oc1ccc(O)cc1
C(=Cc1ccncc1)c1ccncc1,O=Cc1c(O)cc(O)cc1O
C(=Cc1ccncc1)c1ccncc1,CC(=O)c1c(O)cc(O)cc1O
C(=Cc1ccncc1)c1ccncc1,CCC(=O)c1c(O)cc(O)cc1O
C(=Cc1ccncc1)c1ccncc1,O=c1[nH]c(=O)[nH]c(=O)[nH]1
C(=Cc1ccncc1)c1ccncc1,O=C(O)CSCC(=O)O
C(=Cc1ccncc1)c1ccncc1,O=C(O)C=CCC(=O)O
C(=Cc1ccncc1)c1ccncc1,O=C(O)C=CC=CC(=O)O
C(=Cc1ccncc1)c1ccncc1,N#Cc1cccc(O)c1
C(=Cc1ccncc1)c1ccncc1,O=C(O)c1ccc(O)cc1
C(=Cc1ccncc1)c1ccncc1,COC(=S)Nc1ccccc1
C(=Cc1ccncc1)c1ccncc1,CCOC(=S)Nc1ccccc1
C(=Cc1ccncc1)c1ccncc1,O=C(O)CCC(=O)O
C(=Cc1ccncc1)c1ccncc1,Oc1cc(O)c(Cl)cc1Cl
C(=NN=Cc1ccccn1)c1ccccn1,O=C(O)Cc1ccc([N+](=O)[O-])cc1
C(=NN=Cc1ccccn1)c1ccccn1,O=C(O)Cc1ccc(Cl)cc1
C(=NN=Cc1ccccn1)c1ccccn1,O=C(O)c1ccccc1
C(=NN=Cc1cccnc1)c1cccnc1,O=C(O)Cc1ccc([N+](=O)[O-])cc1
C(=NN=Cc1cccnc1)c1cccnc1,O=C(O)Cc1ccccc1
C(=NN=Cc1ccncc1)c1ccncc1,O=C(O)Cc1ccc([N+](=O)[O-])cc1
C(=NN=Cc1ccncc1)c1ccncc1,O=C(O)c1ccccc1
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,N#CC(=NO)c1cccc(Cl)c1
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,O=C(O)CC=CCC(=O)O
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,O=C(O)C=CC(=O)O
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,O=C(O)CCC(=O)O
c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,O=C(O)c1cccc(C(=O)O)c1
c1ccc(-c2nccn2Cc2cccnc2)cc1,N#CC(=NO)c1ccc(O)cc1
c1cncc(Cn2cnc3ccccc32)c1,O=C(O)c1ccc(O)cc1
c1ccc(-c2nccn2Cc2ccncc2)cc1,O=C(O)c1ccc(O)cc1
c1cc(CCc2ccncc2)ccn1,Oc1cccc(O)c1
c1cc(CCc2ccncc2)ccn1,Oc1ccc(Cl)c(O)c1
c1cc(CCc2ccncc2)ccn1,O=C(O)c1ccccc1
c1cc(CCc2ccncc2)ccn1,O=C(O)C=CC(=O)O
c1cc(CCc2ccncc2)ccn1,N#Cc1cccc(O)c1
c1cc(CCc2ccncc2)ccn1,O=C(O)c1ccccc1Cl
c1cc(CCc2ccncc2)ccn1,Cc1ccc(C(=O)O)cc1
c1cc(CCc2ccncc2)ccn1,O=C(O)c1ccccc1C(=O)O
c1cc(CCc2ccncc2)ccn1,Nc1ccc(C(=O)O)cc1
c1cc(CCc2ccncc2)ccn1,O=C(O)CCC(=O)O
c1cc(CCc2ccncc2)ccn1,Cc1cc(C(=O)O)ccc1N
c1cc(CCc2ccncc2)ccn1,Nc1ccccc1C(=O)O
c1cc(CCc2ccncc2)ccn1,O=C(O)CNC(=O)NCC(=O)O
c1cc(CCCc2ccncc2)ccn1,O=C(O)C=CC(=O)O
c1cc(CCCc2ccncc2)ccn1,O=C(O)c1cccc(C(=O)O)c1
c1cc(CCCc2ccncc2)ccn1,O=C(O)CCC(=O)O
c1cc(CCCc2ccncc2)ccn1,O=C(O)c1ccc(C(=O)O)cc1
c1cc(CCCc2ccncc2)ccn1,Oc1ccc(O)cc1
c1cc(CCCc2ccncc2)ccn1,O=C(O)c1ccc(C(=O)O)c(O)c1
c1cc(CCCc2ccncc2)ccn1,Cc1cc(C(=O)O)cc(C(=O)O)c1
c1cc(CCCc2ccncc2)ccn1,Nc1ccc(C(=O)O)cc1
c1cc(CCCc2ccncc2)ccn1,O=C(O)c1ccc(Cl)s1
c1cc(CCCc2ccncc2)ccn1,O=c1[nH]c(=O)[nH]c(=O)[nH]1
C(=NCCN=Cc1ccccc1)c1ccccc1,Oc1ccc(O)cc1
c1ccc(CNc2ncnc3[nH]cnc23)cc1,O=C(O)c1ccc(Cl)s1
C[N+]1(C)CC(O)CC1C(=O)O,NC(N)=O
C[N+]1(CC(=O)O)CC[N+](C)(CC(=O)O)CC1,O=C(O)C(O)C(O)C(=O)O
C[N+]1(CC(=O)O)CC[N+](C)(CC(=O)O)CC1,O=C(O)c1ccc(O)cc1
